Recife, Santo Amaro, Ponte de Limoeiro, “Acesso por Ponte”, 1.0
Recife, Santo Antônio, Ponte Buarque de Macedo, “Acesso por ponte”, 1.0
Recife, São José, Ponte 12 de Setembro, “Acesso por ponte”, 1.0
Santo Amaro, Boa Vista, Rua 13 de Maio, “Acesso por Rua”, 2.0
Santo Amaro, Santo Antônio, Rua Princesa Isabel, “Acesso por Rua”, 2.0
Santo Amaro, Soledade, Rua  Gervásio Pires, "Acesso por rua”, 2.0
Santo Amaro, Campo Grande, Rua Odorico Mendes, "Acesso por rua", 2.0
Santo Amaro, Torreão, Rua Retorno Um, "Acesso por ponte", 1.0
Boa Vista, Ilha do Leite, Avenida Lins Petit, "Acesso por Avenida", 4.0
Boa Vista, Paissandu, Rua Mário Domingues, "Acesso por Rua", 2.0
Boa Vista, Santo Antônio, Avenida Capibaribe-rio, "Acesso por Avenida", 4.0
Boa Vista, São José, Ponte Velha, "Acesso por Ponte", 1.0
Boa Vista, Soledade, Rua das Ninfas, "Acesso por Rua", 2.0
Boa Vista, Coelhos, Rua Dos Coelhos, "Acesso por rua", 2.0
Boa Vista, Encruzilhada, Avenida João de Barros, "Acesso Avenida", 4.0
Boa Vista, Espinheiro, Rua 48, "Acesso por Rua", 2.0
Boa Vista, Derby, Rua Henrique Dias, "Acesso por Rua", 2.0
Boa Vista, Graças, Rua Joaquim Nabuco, "Acesso por Rua", 2.0
Cabanga, Afogados, Avenida Sul Governador Cid Sampaio, "Acesso por Avenida', 4.0
Cabanga, São José, Avenida Engenheiro José Estelita, "Acesso por Avenida", 4.0
Cabanga, Ilha Joana Bezerra, Rua Dom Paulo II, "Acesso por rua", 2.0
Cabanga, Pina, Ponte Governador Paulo Guerra, "Acesso por ponte", 1.0
Ilha do Leite, Coelhos, Rua Francisco de Alves, "Acesso por Rua", 2.0
Ilha do Leite, Paissandu, Rua General Joaquim de Inácio, "Acesso por Rua", 2.0
Paissandu, Derby, Rua Visconde do Livramento, "Acesso por Rua", 2.0
Paissandu, Ilha do Retiro, Avenida Abdias de Carvalho, "Acesso por Avenida", 4.0
Santo Antônio, São José, Avenida Dantas Barreto, "Acesso por Avenida", 4.0
Santo Antônio, Coelhos, Rua Velha, "Acesso por Rua", 2.0
São José, Ilha Joana Bezerra, Rua Cabo Eutrópio, "Acesso por Rua", 2.0
Coelhos, Ilha Joana Bezerra, Viaduto Joaquim Cardoso, "Acesso por Viaduto", 3.0
Arruda, Água Fria, Rua do Machado, “Acesso por rua”, 2.0
Arruda, Campina do Barreto, Rua das moças, “Acesso por Rua”, 2.0
Arruda, Peixinhos, Rua Jornalista Paulo Matos, “Acesso por Rua”, 2.0
Arruda, Ponto de Parada, Rua Petronila Botelho, “Acesso por Rua”, 2.0
Arruda, Tamarineira, Estrada Velha de Água Fria, “Acesso por Estrada”, 1.5
Arruda, Mangabeira, Rua Jacob, “Acesso por Rua”, 2.0
Arruda, Campo Grande, Rua Desenhista Eulina Santos, “Acesso por Rua”, 2.0
Campina do Barreto, Cajueiro, Rua Couto Soares, “Acesso por Rua”, 2.0
Campina do Barreto, Peixinhos, Rua Nova Esperanca, “Acesso por Ponte”, 1.0
Campina do Barreto, Água Fria, Rua Constança, “Acesso por Rua”, 2.0
Campina do Barreto, Fundão, Avenida Nova do Fundão, “Acesso por Avenida”, 4.0
Campo Grande, Encruzilhada, Estrada de Belem, “Acesso por Estrada”, 1.5
Campo Grande, Torreão, Rua da Fronteira, “Acesso por Rua”, 2.0
Campo Grande, Hipódromo, Rua Francisco Berenguer, “Acesso por Rua”, 2.0
Campo Grande, Peixinhos, Rua Farias Neves, “Acesso por Ponte”, 1.0
Encruzilhada, Aflitos, Avenida Conselheiro Portela, “Acesso por Avenida”, 4.0
Encruzilhada, Hipódromo, Rua Frederico, “Acesso por Rua”, 2.0
Encruzilhada, Ponto de Parada, Rua Deputado Pedro Velho, “Acesso por Rua”, 2.0
Encruzilhada, Espinheiro, Rua Marques do Parana, “Acesso por Rua”, 2.0
Encruzilhada, Rosarinho, Rua Hipólito Braga, “Acesso por Rua”, 2.0
Encruzilhada, Torreão, Rua Padre Miguelinho, “Acesso por Rua”, 2.0
Ponto de Parada, Hipódromo, Rua Professor Jerônimo Gueiros, “Acesso por rua”, 2.0
Ponto de Parada, Rosarinho, Rua Almeida Noronha de Carvalho, “Acesso por rua”, 2.0
Rosarinho, Aflitos, Avenida Santos Dumont, “Acesso por avenida”, 4.0
Rosarinho, Graças, Rua Desembargador Martins Pereira, “Acesso por rua”, 2.0
Rosarinho, Tamarineira, Rua Doutor José Maria, “Acesso por rua”, 2.0
Torreão, Espinheiro, Avenida Norte Miguel Arraes de Alencar, “Acesso por avenida”, 4.0
Água Fria, Beberibe, Rua Florestópolis, “Acesso por rua”, 2.0
Água Fria, Bomba do Hemetério, Rua Córrego João Francisco, “Acesso por rua”, 2.0
Água Fria, Fundão, Rua Major Davino, “Acesso por rua”, 2.0
Água Fria, Linha do Tiro, Rua Ladeira de Pedra, “Acesso por rua”, 2.0
Água Fria, Alto Santa Teresinha, Rua Grupiara, “Acesso por rua”, 2.0
Água Fria, Porto da Madeira, Rua Conselheiro Barros Barreto, “Acesso por rua”, 2.0
Alto Santa Teresinha, Bomba do Hemetério, Rua Aurea, “Acesso por rua”, 2.0
Alto Santa Teresinha, Alto José do Pinho, Rua Padre Oliveira, “Acesso por rua”, 2.0
Alto Santa Teresinha, Linha do Tiro, Rua Alto do Tiro, “Acesso por rua”, 2.0
Alto Santa Teresinha, Alto José Bonifácio, Rua Côrrego José Grande, “Acesso por rua”, 2.0
Bomba do Hemetério, Arruda, Rua Desembargador Heráclito Cavalcanti, “Acesso por rua”, 2.0
Bomba do Hemetério, Alto José do Pinho, Rua 2A Travessa chá de Alegria, “Acesso por rua”, 2.0
Bomba do Hemetério, Mangabeira, Rua Maria Gonçalves, “Acesso por rua”, 2.0
Cajueiro, Porto da Madeira, Avenida Cidade de Monteiro, “Acesso por rua”, 2.0
Porto da Madeira, Beberibe, Rua Doná Virtuosa de Lucena, “Acesso por rua”, 2.0
Beberibe, Dois Unidos, Avenida Hildebrando de Vasconcelos, “Acesso por Avenida”, 4.0
Beberibe, Linha do Tiro, Rua Alto dos Coqueiros, “Acesso por rua”, 2.0
Dois Unidos, Passarinho, Avenida Chagas Ferreira, “Acesso por avenida”, 4.0
Dois Unidos, Linha do Tiro, Rua Isaltino Lobo, “Acesso por rua”, 2.0
Aflitos, Espinheiro, Rua Conselheiro Portela, “Acesso por rua”, 2.0
Aflitos, Graças, Rua da Angustura, “Acesso por rua”, 2.0
Alto do Mandu, Monteiro, Rua Siriji, “Acesso por rua”, 2.0
Alto do Mandu, Apipucos, Rua Massaranduba, “Acesso por rua”, 2.0
Alto do Mandu, Casa Amarela, Rua Coruripe, “Acesso por rua”, 2.0
Alto do Mandu, Macaxeira, Rua Nova Descoberta, “Acesso por rua”, 2.0
Alto do Mandu, Vasco da Gama, Rua S D 5178, “Acesso por rua”, 2.0
Apipucos, Dois Irmãos, Avenida da Recuperação, “Acesso por Avenida”, 4.0
Apipucos, Macaxeira, Rua Erundina N. de Araujo, “Acesso por rua”, 2.0
Apipucos, Monteiro, Rua de Apipucos, “Acesso por rua”, 2.0
