source_city, destination_city, class, duration
Mumbai, Delhi, Business, 22.58
Mumbai, Delhi, Business, 19.67
Mumbai, Delhi, Economy, 4.75
Mumbai, Delhi, Business, 26.67
Mumbai, Delhi, Business, 7.17
Mumbai, Delhi, Economy, 6.42
Mumbai, Delhi, Economy, 14.08
Mumbai, Delhi, Economy, 26.42
Mumbai, Delhi, Economy, 6.75
Mumbai, Delhi, Business, 12.75
Mumbai, Delhi, Economy, 8.17
Mumbai, Delhi, Economy, 7.67
Mumbai, Delhi, Business, 13.0
Mumbai, Delhi, Economy, 7.17
Mumbai, Delhi, Economy, 7.17
Mumbai, Delhi, Business, 2.08
Mumbai, Delhi, Economy, 2.25
Mumbai, Delhi, Business, 2.17
Mumbai, Delhi, Economy, 7.17
Mumbai, Delhi, Business, 2.42
Mumbai, Delhi, Economy, 2.17
Mumbai, Delhi, Business, 12.5
Mumbai, Delhi, Business, 21.08
Mumbai, Delhi, Economy, 6.67
Mumbai, Delhi, Economy, 6.08
Mumbai, Bangalore, Business, 20.92
Mumbai, Bangalore, Economy, 17.5
Mumbai, Bangalore, Economy, 1.58
Mumbai, Bangalore, Business, 14.75
Mumbai, Bangalore, Economy, 9.08
Mumbai, Bangalore, Economy, 14.5
Mumbai, Bangalore, Economy, 15.08
Mumbai, Bangalore, Business, 5.75
Mumbai, Bangalore, Economy, 9.25
Mumbai, Bangalore, Business, 15.83
Mumbai, Bangalore, Economy, 7.58
Mumbai, Bangalore, Economy, 24.17
Mumbai, Bangalore, Economy, 26.67
Mumbai, Bangalore, Economy, 22.92
Mumbai, Bangalore, Economy, 8.0
Mumbai, Bangalore, Economy, 7.67
Mumbai, Bangalore, Economy, 10.08
Mumbai, Bangalore, Economy, 8.58
Mumbai, Bangalore, Economy, 10.0
Mumbai, Bangalore, Business, 14.17
Mumbai, Bangalore, Business, 7.58
Mumbai, Bangalore, Economy, 16.92
Mumbai, Bangalore, Economy, 10.0
Mumbai, Bangalore, Economy, 1.67
Mumbai, Bangalore, Economy, 8.67
Mumbai, Kolkata, Economy, 16.08
Mumbai, Kolkata, Economy, 15.0
Mumbai, Kolkata, Economy, 2.58
Mumbai, Kolkata, Economy, 5.17
Mumbai, Kolkata, Economy, 26.75
Mumbai, Kolkata, Business, 16.0
Mumbai, Kolkata, Economy, 10.75
Mumbai, Kolkata, Business, 10.83
Mumbai, Kolkata, Economy, 10.08
Mumbai, Kolkata, Economy, 11.17
Mumbai, Kolkata, Business, 10.33
Mumbai, Kolkata, Business, 7.33
Mumbai, Kolkata, Business, 24.5
Mumbai, Kolkata, Economy, 2.67
Mumbai, Kolkata, Business, 11.67
Mumbai, Kolkata, Business, 11.67
Mumbai, Kolkata, Economy, 9.17
Mumbai, Kolkata, Business, 5.17
Mumbai, Kolkata, Economy, 19.5
Mumbai, Kolkata, Economy, 15.83
Mumbai, Kolkata, Economy, 25.33
Mumbai, Kolkata, Business, 11.17
Mumbai, Kolkata, Economy, 15.75
Mumbai, Kolkata, Economy, 17.42
Mumbai, Kolkata, Economy, 6.17
Mumbai, Hyderabad, Business, 16.42
Mumbai, Hyderabad, Business, 5.58
Mumbai, Hyderabad, Economy, 17.92
Mumbai, Hyderabad, Business, 10.92
Mumbai, Hyderabad, Business, 5.08
Mumbai, Hyderabad, Economy, 25.33
Mumbai, Hyderabad, Economy, 15.58
Mumbai, Hyderabad, Economy, 6.67
Mumbai, Hyderabad, Economy, 19.08
Mumbai, Hyderabad, Economy, 5.58
Mumbai, Hyderabad, Business, 7.42
Mumbai, Hyderabad, Economy, 14.5
Mumbai, Hyderabad, Economy, 9.67
Mumbai, Hyderabad, Economy, 17.08
Mumbai, Hyderabad, Economy, 13.0
Mumbai, Hyderabad, Business, 15.42
Mumbai, Hyderabad, Economy, 20.08
Mumbai, Hyderabad, Business, 20.08
Mumbai, Hyderabad, Economy, 7.5
Mumbai, Hyderabad, Business, 24.42
Mumbai, Hyderabad, Economy, 10.92
Mumbai, Hyderabad, Economy, 26.08
Mumbai, Hyderabad, Economy, 11.5
Mumbai, Hyderabad, Economy, 24.33
Mumbai, Hyderabad, Economy, 8.67
Delhi, Mumbai, Economy, 5.75
Delhi, Mumbai, Economy, 9.75
Delhi, Mumbai, Economy, 5.5
Delhi, Mumbai, Business, 11.0
Delhi, Mumbai, Economy, 8.0
Delhi, Mumbai, Business, 14.75
Delhi, Mumbai, Business, 13.42
Delhi, Mumbai, Business, 30.08
Delhi, Mumbai, Economy, 20.42
Delhi, Mumbai, Economy, 15.58
Delhi, Mumbai, Business, 13.83
Delhi, Mumbai, Economy, 11.25
Delhi, Mumbai, Economy, 6.67
Delhi, Mumbai, Economy, 4.58
Delhi, Mumbai, Economy, 2.25
Delhi, Mumbai, Business, 25.92
Delhi, Mumbai, Economy, 25.83
Delhi, Mumbai, Economy, 4.42
Delhi, Mumbai, Business, 2.17
Delhi, Mumbai, Economy, 2.25
Delhi, Mumbai, Economy, 2.33
Delhi, Mumbai, Economy, 9.08
Delhi, Mumbai, Economy, 3.75
Delhi, Mumbai, Business, 11.0
Delhi, Mumbai, Economy, 23.58
Delhi, Bangalore, Economy, 2.75
Delhi, Bangalore, Economy, 7.17
Delhi, Bangalore, Business, 8.92
Delhi, Bangalore, Economy, 6.67
Delhi, Bangalore, Economy, 7.25
Delhi, Bangalore, Economy, 8.67
Delhi, Bangalore, Business, 26.42
Delhi, Bangalore, Economy, 12.17
Delhi, Bangalore, Economy, 8.0
Delhi, Bangalore, Economy, 6.67
Delhi, Bangalore, Economy, 7.33
Delhi, Bangalore, Business, 13.0
Delhi, Bangalore, Economy, 21.17
Delhi, Bangalore, Business, 22.42
Delhi, Bangalore, Business, 13.67
Delhi, Bangalore, Business, 14.92
Delhi, Bangalore, Economy, 4.75
Delhi, Bangalore, Business, 10.5
Delhi, Bangalore, Economy, 19.67
Delhi, Bangalore, Economy, 4.83
Delhi, Bangalore, Economy, 4.75
Delhi, Bangalore, Economy, 2.92
Delhi, Bangalore, Economy, 15.0
Delhi, Bangalore, Economy, 11.75
Delhi, Bangalore, Economy, 6.58
Delhi, Kolkata, Business, 23.92
Delhi, Kolkata, Business, 14.67
Delhi, Kolkata, Business, 27.58
Delhi, Kolkata, Economy, 15.92
Delhi, Kolkata, Economy, 2.33
Delhi, Kolkata, Economy, 9.33
Delhi, Kolkata, Business, 16.17
Delhi, Kolkata, Business, 14.75
Delhi, Kolkata, Business, 15.92
Delhi, Kolkata, Business, 8.0
Delhi, Kolkata, Business, 27.33
Delhi, Kolkata, Business, 16.67
Delhi, Kolkata, Business, 2.08
Delhi, Kolkata, Economy, 16.92
Delhi, Kolkata, Economy, 6.58
Delhi, Kolkata, Economy, 6.58
Delhi, Kolkata, Economy, 10.5
Delhi, Kolkata, Economy, 2.08
Delhi, Kolkata, Business, 5.67
Delhi, Kolkata, Economy, 14.67
Delhi, Kolkata, Economy, 28.17
Delhi, Kolkata, Business, 15.92
Delhi, Kolkata, Business, 2.25
Delhi, Kolkata, Economy, 11.92
Delhi, Kolkata, Economy, 5.08
Delhi, Hyderabad, Economy, 28.33
Delhi, Hyderabad, Economy, 2.25
Delhi, Hyderabad, Economy, 8.75
Delhi, Hyderabad, Economy, 14.42
Delhi, Hyderabad, Economy, 26.67
Delhi, Hyderabad, Economy, 7.25
Delhi, Hyderabad, Economy, 7.25
Delhi, Hyderabad, Economy, 14.58
Delhi, Hyderabad, Business, 25.0
Delhi, Hyderabad, Economy, 13.92
Delhi, Hyderabad, Economy, 2.25
Delhi, Hyderabad, Economy, 16.67
Delhi, Hyderabad, Business, 12.0
Delhi, Hyderabad, Business, 27.42
Delhi, Hyderabad, Business, 10.17
Delhi, Hyderabad, Economy, 10.5
Delhi, Hyderabad, Business, 10.58
Delhi, Hyderabad, Economy, 2.33
Delhi, Hyderabad, Economy, 13.92
Delhi, Hyderabad, Business, 26.58
Delhi, Hyderabad, Economy, 25.58
Delhi, Hyderabad, Economy, 22.33
Delhi, Hyderabad, Economy, 23.08
Delhi, Hyderabad, Economy, 14.08
Delhi, Hyderabad, Economy, 5.33
Bangalore, Mumbai, Economy, 13.25
Bangalore, Mumbai, Business, 15.08
Bangalore, Mumbai, Business, 6.0
Bangalore, Mumbai, Economy, 10.92
Bangalore, Mumbai, Economy, 13.42
Bangalore, Mumbai, Business, 12.25
Bangalore, Mumbai, Economy, 17.42
Bangalore, Mumbai, Economy, 3.92
Bangalore, Mumbai, Economy, 11.33
Bangalore, Mumbai, Economy, 1.83
Bangalore, Mumbai, Economy, 11.5
Bangalore, Mumbai, Economy, 4.17
Bangalore, Mumbai, Business, 16.75
Bangalore, Mumbai, Business, 14.0
Bangalore, Mumbai, Economy, 13.83
Bangalore, Mumbai, Economy, 5.67
Bangalore, Mumbai, Business, 16.75
Bangalore, Mumbai, Economy, 15.42
Bangalore, Mumbai, Economy, 14.58
Bangalore, Mumbai, Business, 6.0
Bangalore, Mumbai, Economy, 21.0
Bangalore, Mumbai, Economy, 6.08
Bangalore, Mumbai, Business, 10.5
Bangalore, Mumbai, Economy, 26.67
Bangalore, Mumbai, Economy, 10.83
Bangalore, Delhi, Business, 5.0
Bangalore, Delhi, Economy, 14.67
Bangalore, Delhi, Economy, 21.75
Bangalore, Delhi, Economy, 3.0
Bangalore, Delhi, Economy, 6.83
Bangalore, Delhi, Economy, 7.17
Bangalore, Delhi, Economy, 2.67
Bangalore, Delhi, Economy, 10.5
Bangalore, Delhi, Business, 12.42
Bangalore, Delhi, Economy, 8.5
Bangalore, Delhi, Economy, 16.5
Bangalore, Delhi, Economy, 8.92
Bangalore, Delhi, Economy, 25.42
Bangalore, Delhi, Economy, 2.92
Bangalore, Delhi, Economy, 5.58
Bangalore, Delhi, Economy, 5.42
Bangalore, Delhi, Economy, 24.0
